dealership,transfer_center,distance
65898,10952,1062.0
66781,10952,1134.0
67204,10952,1260.0
67418,10952,1270.0
67860,10952,1888.0
69135,10952,1348.0
71315,10952,1229.0
71984,10952,2220.0
72183,10952,1083.0
72955,10952,1165.0
75034,10952,1363.0
76047,10952,2089.0
76327,10952,2029.0
77046,10952,1431.0
77250,10952,1695.0
77533,10952,1583.0
78430,10952,2037.0
79538,10952,1548.0
79903,10952,1898.0
79937,10952,1989.0
79942,10952,1894.0
81023,10952,1650.0
81057,10952,1541.0
81126,10952,1690.0
82054,10952,1565.0
82217,10952,1556.0
82922,10952,1848.0
84340,10952,1956.0
84636,10952,2128.0
84656,10952,2151.0
87059,10952,1792.0
88527,10952,1894.0
88533,10952,1894.0
89180,10952,2221.0
90590,10952,2064.0
90711,10952,2451.0
91521,10952,2440.0
91523,10952,2440.0
91776,10952,2432.0
91946,10952,2416.0
92033,10952,2408.0
93203,10952,2439.0
95009,10952,2545.0
95054,10952,2543.0
95664,10952,2462.0
97028,10952,2383.0
97403,10952,2464.0
98498,10952,2400.0
99013,10952,2078.0
99070,10952,2083.0
B2G,10952,681.0
B2R,10952,588.0
E3Z,10952,510.0
E4E,10952,534.0
E5V,10952,447.0
G0P,10952,358.0
G0Z,10952,363.0
G2G,10952,414.0
H2V,10952,305.0
H9B,10952,302.0
J1Z,10952,343.0
J8B,10952,334.0
J9Y,10952,545.0
K1A,10952,308.0
L4M,10952,363.0
L5C,10952,331.0
L6M,10952,332.0
L8L,10952,330.0
M1J,10952,320.0
M1N,10952,319.0
M5G,10952,323.0
N1R,10952,351.0
N2M,10952,366.0
N6A,10952,391.0
P6C,10952,635.0
R4K,10952,1283.0
T3C,10952,2010.0
T3R,10952,2015.0
V0C,10952,2514.0
V3L,10952,2399.0
V3W,10952,2398.0
V7P,10952,2408.0
V8W,10952,2426.0
V8Z,10952,2427.0
V9G,10952,2442.0
01079,13335,153.0
04412,13335,355.0
06016,13335,148.0
07423,13335,131.0
08504,13335,161.0
08740,13335,200.0
10977,13335,125.0
11769,13335,174.0
13482,13335,3.0
14067,13335,172.0
14530,13335,140.0
15240,13335,292.0
15930,13335,245.0
16863,13335,208.0
16933,13335,112.0
17726,13335,157.0
17944,13335,150.0
18425,13335,88.0
19126,13335,183.0
21918,13335,214.0
22610,13335,311.0
23430,13335,402.0
23850,13335,406.0
24570,13335,1819.0
24934,13335,385.0
25430,13335,1796.0
26764,13335,1772.0
30240,13335,856.0
31093,13335,832.0
31791,13335,904.0
33830,13335,2016.0
33880,13335,1080.0
35582,13335,897.0
36304,13335,972.0
36525,13335,1076.0
37202,13335,757.0
37669,13335,576.0
37869,13335,602.0
37874,13335,2089.0
37916,13335,2072.0
39215,13335,1087.0
41528,13335,509.0
41832,13335,560.0
41855,13335,551.0
43053,13335,2003.0
43151,13335,474.0
43553,13335,2060.0
43652,13335,425.0
45688,13335,470.0
46405,13335,620.0
47683,13335,706.0
50528,13335,973.0
52240,13335,835.0
53066,13335,670.0
53267,13335,641.0
55315,13335,930.0
55428,13335,916.0
56459,13335,969.0
56554,13335,1057.0
56725,13335,1057.0
57270,13335,1110.0
57772,13335,1364.0
57773,13335,1423.0
58566,13335,1283.0
58620,13335,1396.0
60421,13335,664.0
60952,13335,2327.0
61616,13335,2214.0
61756,13335,2245.0
61845,13335,2247.0
62444,13335,742.0
63530,13335,913.0
63640,13335,868.0
64735,13335,1015.0
65230,13335,940.0
65898,13335,1026.0
66781,13335,1094.0
67204,13335,1212.0
67418,13335,1212.0
67860,13335,1891.0
69135,13335,1271.0
71315,13335,1235.0
71984,13335,2259.0
72183,13335,1069.0
72955,13335,1137.0
75034,13335,1343.0
76047,13335,2105.0
76327,13335,2047.0
77046,13335,1432.0
77250,13335,1758.0
77533,13335,1647.0
78430,13335,2047.0
79538,13335,1525.0
79903,13335,1860.0
79937,13335,2008.0
79942,13335,1857.0
81023,13335,1588.0
81057,13335,1482.0
81126,13335,1632.0
82054,13335,1491.0
82217,13335,1478.0
82922,13335,1762.0
84340,13335,1875.0
84636,13335,2087.0
84656,13335,2112.0
87059,13335,1741.0
88527,13335,1857.0
88533,13335,1857.0
89180,13335,2155.0
90590,13335,2093.0
90711,13335,2389.0
91521,13335,2376.0
91523,13335,2376.0
91776,13335,2369.0
91946,13335,2359.0
92033,13335,2349.0
93203,13335,2372.0
95009,13335,2469.0
95054,13335,2466.0
95664,13335,2382.0
97028,13335,2286.0
97403,13335,2369.0
98498,13335,2299.0
99013,13335,2078.0
99070,13335,2084.0
B2G,13335,686.0
B2R,13335,600.0
E3Z,13335,469.0
E4E,13335,525.0
E5V,13335,441.0
G0P,13335,288.0
G0Z,13335,285.0
G2G,13335,339.0
H2V,13335,211.0
H9B,13335,206.0
J1Z,13335,263.0
J8B,13335,231.0
J9Y,13335,420.0
K1A,13335,189.0
L4M,13335,251.0
L5C,13335,230.0
L6M,13335,234.0
L8L,13335,235.0
M1J,13335,213.0
M1N,13335,214.0
M5G,13335,219.0
N1R,13335,256.0
N2M,13335,271.0
N6A,13335,305.0
P6C,13335,521.0
R4K,13335,1171.0
T3C,13335,1900.0
T3R,13335,1906.0
V0C,13335,2394.0
V3L,13335,2293.0
V3W,13335,2292.0
V7P,13335,2302.0
V8W,13335,2322.0
V8Z,13335,2323.0
V9G,13335,2337.0
01079,16932,241.0
04412,16932,463.0
06016,16932,229.0
07423,16932,160.0
08504,16932,153.0
08740,16932,197.0
10977,16932,160.0
11769,16932,214.0
13482,16932,112.0
14067,16932,127.0
14530,16932,83.0
15240,16932,183.0
15930,16932,137.0
16863,16932,99.0
16933,16932,4.0
17726,16932,51.0
17944,16932,85.0
18425,16932,105.0
19126,16932,154.0
21918,16932,152.0
22610,16932,216.0
23430,16932,332.0
23850,16932,324.0
24570,16932,1718.0
24934,16932,280.0
25430,16932,1687.0
26764,16932,1663.0
30240,16932,749.0
31093,16932,729.0
31791,16932,803.0
33830,16932,1909.0
33880,16932,990.0
35582,16932,787.0
36304,16932,868.0
36525,16932,969.0
37202,16932,647.0
37669,16932,468.0
37869,16932,494.0
37874,16932,1979.0
37916,16932,1962.0
39215,16932,977.0
41528,16932,400.0
41832,16932,451.0
41855,16932,442.0
43053,16932,1894.0
43151,16932,367.0
43553,16932,1951.0
43652,16932,332.0
45688,16932,360.0
46405,16932,530.0
47683,16932,600.0
50528,16932,896.0
52240,16932,747.0
53066,16932,592.0
53267,16932,563.0
55315,16932,862.0
55428,16932,851.0
56459,16932,913.0
56554,16932,1002.0
56725,16932,1010.0
57270,16932,1048.0
57772,16932,1289.0
57773,16932,1351.0
58566,16932,1224.0
58620,16932,1335.0
60421,16932,573.0
60952,16932,2218.0
61616,16932,2105.0
61756,16932,2136.0
61845,16932,2137.0
62444,16932,640.0
63530,16932,818.0
63640,16932,763.0
64735,16932,916.0
65230,16932,842.0
65898,16932,923.0
66781,16932,992.0
67204,16932,1114.0
67418,16932,1119.0
67860,16932,1781.0
69135,16932,1191.0
71315,16932,1125.0
71984,16932,2152.0
72183,16932,961.0
72955,16932,1031.0
75034,16932,1236.0
76047,16932,1996.0
76327,16932,1937.0
77046,16932,1322.0
77250,16932,1660.0
77533,16932,1550.0
78430,16932,1938.0
79538,16932,1419.0
79903,16932,1758.0
79937,16932,1899.0
79942,16932,1755.0
81023,16932,1497.0
81057,16932,1390.0
81126,16932,1540.0
82054,16932,1408.0
82217,16932,1399.0
82922,16932,1690.0
84340,16932,1798.0
84636,16932,1987.0
84656,16932,2011.0
87059,16932,1645.0
88527,16932,1755.0
88533,16932,1755.0
89180,16932,2067.0
90590,16932,1984.0
90711,16932,2299.0
91521,16932,2287.0
91523,16932,2287.0
91776,16932,2279.0
91946,16932,2266.0
92033,16932,2257.0
93203,16932,2285.0
95009,16932,2388.0
95054,16932,2386.0
95664,16932,2304.0
97028,16932,2225.0
97403,16932,2306.0
98498,16932,2244.0
99013,16932,1969.0
99070,16932,1975.0
B2G,16932,793.0
B2R,16932,706.0
E3Z,16932,578.0
E4E,16932,634.0
E5V,16932,550.0
G0P,16932,393.0
G0Z,16932,387.0
G2G,16932,442.0
H2V,16932,309.0
H9B,16932,302.0
J1Z,16932,366.0
J8B,16932,321.0
J9Y,16932,452.0
K1A,16932,259.0
L4M,16932,225.0
L5C,16932,182.0
L6M,16932,181.0
L8L,16932,177.0
M1J,16932,177.0
M1N,16932,175.0
M5G,16932,177.0
N1R,16932,197.0
N2M,16932,212.0
N6A,16932,233.0
P6C,16932,491.0
R4K,16932,1134.0
T3C,16932,1858.0
T3R,16932,1864.0
V0C,16932,2375.0
V3L,16932,2245.0
V3W,16932,2243.0
V7P,16932,2254.0
V8W,16932,2271.0
V8Z,16932,2272.0
V9G,16932,2288.0
01079,17745,274.0
04412,17745,506.0
06016,17745,259.0
07423,17745,174.0
08504,17745,152.0
08740,17745,193.0
10977,17745,177.0
11769,17745,227.0
13482,17745,159.0
14067,17745,154.0
14530,17745,113.0
15240,17745,144.0
15930,17745,89.0
16863,17745,57.0
16933,17745,50.0
17726,17745,2.0
17944,17745,69.0
18425,17745,128.0
19126,17745,142.0
21918,17745,122.0
22610,17745,166.0
23430,17745,291.0
23850,17745,277.0
24570,17745,1668.0
24934,17745,231.0
25430,17745,1646.0
26764,17745,1622.0
30240,17745,700.0
31093,17745,680.0
31791,17745,753.0
33830,17745,1871.0
33880,17745,941.0
35582,17745,743.0
36304,17745,818.0
36525,17745,920.0
37202,17745,604.0
37669,17745,420.0
37869,17745,446.0
37874,17745,1933.0
37916,17745,1917.0
39215,17745,932.0
41528,17745,353.0
41832,17745,404.0
41855,17745,395.0
43053,17745,1847.0
43151,17745,332.0
43553,17745,1904.0
43652,17745,313.0
45688,17745,317.0
46405,17745,510.0
47683,17745,564.0
50528,17745,884.0
52240,17745,729.0
53066,17745,581.0
53267,17745,552.0
55315,17745,856.0
55428,17745,847.0
56459,17745,914.0
56554,17745,1002.0
56725,17745,1015.0
57270,17745,1044.0
57772,17745,1277.0
57773,17745,1340.0
58566,17745,1222.0
58620,17745,1332.0
60421,17745,553.0
60952,17745,2171.0
61616,17745,2059.0
61756,17745,2090.0
61845,17745,2091.0
62444,17745,609.0
63530,17745,793.0
63640,17745,729.0
64735,17745,887.0
65230,17745,815.0
65898,17745,890.0
66781,17745,961.0
67204,17745,1085.0
67418,17745,1095.0
67860,17745,1738.0
69135,17745,1176.0
71315,17745,1081.0
71984,17745,2103.0
72183,17745,921.0
72955,17745,996.0
75034,17745,1198.0
76047,17745,1950.0
76327,17745,1891.0
77046,17745,1279.0
77250,17745,1610.0
77533,17745,1500.0
78430,17745,1893.0
79538,17745,1381.0
79903,17745,1726.0
79937,17745,1852.0
79942,17745,1722.0
81023,17745,1474.0
81057,17745,1366.0
81126,17745,1515.0
82054,17745,1392.0
82217,17745,1384.0
82922,17745,1679.0
84340,17745,1784.0
84636,17745,1956.0
84656,17745,1979.0
87059,17745,1617.0
88527,17745,1722.0
88533,17745,1722.0
89180,17745,2046.0
90590,17745,1937.0
90711,17745,2276.0
91521,17745,2265.0
91523,17745,2265.0
91776,17745,2256.0
91946,17745,2241.0
92033,17745,2232.0
93203,17745,2264.0
95009,17745,2371.0
95054,17745,2370.0
95664,17745,2289.0
97028,17745,2220.0
97403,17745,2299.0
98498,17745,2242.0
99013,17745,1926.0
99070,17745,1932.0
B2G,17745,833.0
B2R,17745,744.0
E3Z,17745,625.0
E4E,17745,676.0
E5V,17745,591.0
G0P,17745,442.0
G0Z,17745,437.0
G2G,17745,492.0
H2V,17745,358.0
H9B,17745,352.0
J1Z,17745,415.0
J8B,17745,371.0
J9Y,17745,491.0
K1A,17745,308.0
L4M,17745,252.0
L5C,17745,202.0
L6M,17745,198.0
L8L,17745,192.0
M1J,17745,202.0
M1N,17745,199.0
M5G,17745,200.0
N1R,17745,209.0
N2M,17745,223.0
N6A,17745,234.0
P6C,17745,508.0
R4K,17745,1142.0
T3C,17745,1863.0
T3R,17745,1869.0
V0C,17745,2391.0
V3L,17745,2247.0
V3W,17745,2245.0
V7P,17745,2256.0
V8W,17745,2272.0
V8Z,17745,2273.0
V9G,17745,2289.0
01079,18457,149.0
04412,18457,391.0
06016,18457,133.0
07423,18457,59.0
08504,18457,76.0
08740,18457,117.0
10977,18457,57.0
11769,18457,112.0
13482,18457,85.0
14067,18457,216.0
14530,18457,175.0
15240,18457,269.0
15930,18457,208.0
16863,18457,184.0
16933,18457,107.0
17726,18457,126.0
17944,18457,85.0
18425,18457,3.0
19126,18457,98.0
21918,18457,137.0
22610,18457,250.0
23430,18457,322.0
23850,18457,332.0
24570,18457,1755.0
24934,18457,333.0
25430,18457,1768.0
26764,18457,1744.0
30240,18457,802.0
31093,18457,772.0
31791,18457,842.0
33830,18457,1995.0
33880,18457,1006.0
35582,18457,860.0
36304,18457,914.0
36525,18457,1026.0
37202,18457,725.0
37669,18457,527.0
37869,18457,557.0
37874,18457,2047.0
37916,18457,2030.0
39215,18457,1047.0
41528,18457,465.0
41832,18457,517.0
41855,18457,508.0
43053,18457,1956.0
43151,18457,458.0
43553,18457,2012.0
43652,18457,434.0
45688,18457,438.0
46405,18457,631.0
47683,18457,689.0
50528,18457,999.0
52240,18457,849.0
53066,18457,695.0
53267,18457,666.0
55315,18457,964.0
55428,18457,953.0
56459,18457,1013.0
56554,18457,1102.0
56725,18457,1108.0
57270,18457,1149.0
57772,18457,1392.0
57773,18457,1453.0
58566,18457,1325.0
58620,18457,1437.0
60421,18457,675.0
60952,18457,2283.0
61616,18457,2171.0
61756,18457,2202.0
61845,18457,2203.0
62444,18457,736.0
63530,18457,918.0
63640,18457,855.0
64735,18457,1013.0
65230,18457,941.0
65898,18457,1016.0
66781,18457,1087.0
67204,18457,1211.0
67418,18457,1219.0
67860,18457,1856.0
69135,18457,1294.0
71315,18457,1197.0
71984,18457,2203.0
72183,18457,1044.0
72955,18457,1121.0
75034,18457,1323.0
76047,18457,2062.0
76327,18457,2003.0
77046,18457,1397.0
77250,18457,1689.0
77533,18457,1578.0
78430,18457,2008.0
79538,18457,1506.0
79903,18457,1852.0
79937,18457,1963.0
79942,18457,1848.0
81023,18457,1598.0
81057,18457,1490.0
81126,18457,1640.0
82054,18457,1511.0
82217,18457,1502.0
82922,18457,1793.0
84340,18457,1901.0
84636,18457,2082.0
84656,18457,2105.0
87059,18457,1743.0
88527,18457,1848.0
88533,18457,1848.0
89180,18457,2169.0
90590,18457,2042.0
90711,18457,2399.0
91521,18457,2388.0
91523,18457,2388.0
91776,18457,2380.0
91946,18457,2366.0
92033,18457,2357.0
93203,18457,2386.0
95009,18457,2491.0
95054,18457,2489.0
95664,18457,2407.0
97028,18457,2326.0
97403,18457,2408.0
98498,18457,2344.0
99013,18457,2044.0
99070,18457,2050.0
B2G,18457,712.0
B2R,18457,622.0
E3Z,18457,522.0
E4E,18457,560.0
E5V,18457,473.0
G0P,18457,355.0
G0Z,18457,356.0
G2G,18457,409.0
H2V,18457,289.0
H9B,18457,285.0
J1Z,18457,335.0
J8B,18457,313.0
J9Y,18457,502.0
K1A,18457,275.0
L4M,18457,309.0
L5C,18457,275.0
L6M,18457,276.0
L8L,18457,274.0
M1J,18457,264.0
M1N,18457,264.0
M5G,18457,267.0
N1R,18457,295.0
N2M,18457,310.0
N6A,18457,335.0
P6C,18457,580.0
R4K,18457,1228.0
T3C,18457,1954.0
T3R,18457,1960.0
V0C,18457,2461.0
V3L,18457,2343.0
V3W,18457,2342.0
V7P,18457,2352.0
V8W,18457,2370.0
V8Z,18457,2371.0
V9G,18457,2386.0
01079,23022,439.0
04412,23022,693.0
06016,23022,418.0
07423,23022,316.0
08504,23022,265.0
08740,23022,269.0
10977,23022,324.0
11769,23022,344.0
13482,23022,379.0
14067,23022,378.0
14530,23022,344.0
15240,23022,208.0
15930,23022,178.0
16863,23022,219.0
16933,23022,288.0
17726,23022,238.0
17944,23022,229.0
18425,23022,308.0
19126,23022,232.0
